Last Work Unit,Score,Score Δ,Rank,of,Top,Percentile,Rank Δ,Work Units,WU Δ
09/12/2010 08:06:32,"209,049",921,"46,356","1,490,840",3.11%,96.89%,-0.01%,786,1
09/12/2010 14:06:06,"209,970",921,"46,180","1,490,889",3.10%,96.90%,-0.01%,787,1
10/12/2010 01:05:49,"210,509",539,"46,094","1,491,088",3.09%,96.91%,-0.01%,789,2
10/12/2010 12:05:38,"210,578",69,"46,092","1,491,302",3.09%,96.91%,0.00%,790,1
11/12/2010 04:05:22,"210,647",69,"46,089","1,491,461",3.09%,96.91%,0.00%,791,1
11/12/2010 05:06:05,"211,568",921,"45,924","1,491,610",3.08%,96.92%,-0.01%,792,1
12/12/2010 03:05:32,"212,489",921,"45,768","1,491,789",3.07%,96.93%,-0.01%,793,1
12/12/2010 18:05:33,"213,451",962,"45,604","1,492,099",3.06%,96.94%,-0.01%,795,2
13/12/2010 04:07:16,"214,372",921,"45,472","1,492,236",3.05%,96.95%,-0.01%,796,1
13/12/2010 21:05:41,"215,815","1,443","45,232","1,492,522",3.03%,96.97%,-0.02%,799,3
14/12/2010 16:06:32,"216,736",921,"45,067","1,492,737",3.02%,96.98%,-0.01%,800,1
15/12/2010 09:05:32,"217,657",921,"44,921","1,493,091",3.01%,96.99%,-0.01%,801,1
16/12/2010 02:09:46,"219,059","1,402","44,713","1,493,506",2.99%,97.01%,-0.01%,803,2
16/12/2010 17:06:02,"220,023",964,"44,566","1,493,523",2.98%,97.02%,-0.01%,805,2
16/12/2010 20:06:24,"220,944",921,"44,426","1,493,593",2.97%,97.03%,-0.01%,806,1
18/12/2010 03:06:38,"221,865",921,"44,294","1,494,066",2.96%,97.04%,-0.01%,807,1
18/12/2010 07:06:15,"222,786",921,"44,150","1,494,306",2.95%,97.05%,-0.01%,808,1
20/12/2010 13:06:13,"226,511","3,725","43,637","1,495,381",2.92%,97.08%,-0.04%,813,5
22/12/2010 02:05:38,"227,432",921,"43,498","1,495,727",2.91%,97.09%,-0.01%,814,1
22/12/2010 18:05:32,"228,834","1,402","43,317","1,496,003",2.90%,97.10%,-0.01%,816,2
22/12/2010 21:05:33,"229,315",481,"43,239","1,496,161",2.89%,97.11%,-0.01%,817,1
24/12/2010 12:06:44,"232,078","2,763","42,866","1,496,685",2.86%,97.14%,-0.03%,820,3
24/12/2010 22:05:41,"233,109","1,031","42,705","1,496,752",2.85%,97.15%,-0.01%,823,3
25/12/2010 14:04:39,"233,178",69,"42,708","1,497,003",2.85%,97.15%,0.00%,824,1
26/12/2010 22:04:25,"235,158","1,980","42,453","1,497,372",2.84%,97.16%,-0.02%,828,4
28/12/2010 01:06:24,"238,471","3,313","42,012","1,497,822",2.80%,97.20%,-0.03%,833,5
28/12/2010 18:05:32,"238,952",481,"41,956","1,498,118",2.80%,97.20%,0.00%,834,1
29/12/2010 15:07:05,"239,433",481,"41,901","1,498,518",2.80%,97.20%,0.00%,835,1
30/12/2010 07:07:12,"240,354",921,"41,779","1,498,828",2.79%,97.21%,-0.01%,836,1
31/12/2010 03:06:15,"241,310",956,"41,661","1,499,010",2.78%,97.22%,-0.01%,838,2
31/12/2010 14:06:17,"242,231",921,"41,548","1,499,237",2.77%,97.23%,-0.01%,839,1
01/01/2011 16:06:40,"244,114","1,883","41,314","1,499,632",2.75%,97.25%,-0.02%,842,3
02/01/2011 17:06:05,"245,069",955,"41,218","1,499,981",2.75%,97.25%,-0.01%,844,2
05/01/2011 06:05:40,"248,354","3,285","40,849","1,501,187",2.72%,97.28%,-0.03%,849,5
06/01/2011 00:06:29,"249,316",962,"40,720","1,501,263",2.71%,97.29%,-0.01%,851,2
23/01/2011 23:05:57,"263,907","14,591","39,198","1,508,803",2.60%,97.40%,-0.11%,897,46
26/01/2011 05:06:40,"266,711","2,804","38,895","1,509,612",2.58%,97.42%,-0.02%,901,4
26/01/2011 17:06:36,"267,192",481,"38,844","1,509,803",2.57%,97.43%,0.00%,902,1
27/01/2011 14:06:41,"269,550","2,358","38,566","1,510,131",2.55%,97.45%,-0.02%,906,4
27/01/2011 20:07:21,"270,031",481,"38,513","1,510,213",2.55%,97.45%,0.00%,907,1
29/01/2011 02:06:55,"271,914","1,883","38,335","1,510,683",2.54%,97.46%,-0.01%,910,3
30/01/2011 17:09:46,"273,756","1,842","38,136","1,511,340",2.52%,97.48%,-0.01%,912,2
28/02/2011 16:09:43,"303,984","30,228","35,471","1,522,678",2.33%,97.67%,-0.19%,962,50
01/03/2011 20:12:41,"304,905",921,"35,393","1,522,848",2.32%,97.68%,-0.01%,963,1
02/03/2011 11:09:36,"305,386",481,"35,353","1,523,055",2.32%,97.68%,0.00%,964,1
03/03/2011 01:09:15,"305,867",481,"35,305","1,523,242",2.32%,97.68%,0.00%,965,1
04/03/2011 15:09:54,"306,788",921,"35,255","1,523,933",2.31%,97.69%,0.00%,966,1
05/03/2011 23:09:38,"307,709",921,"35,180","1,524,259",2.31%,97.69%,-0.01%,967,1
06/03/2011 02:10:22,"308,630",921,"35,108","1,524,326",2.30%,97.70%,0.00%,968,1
09/03/2011 21:09:35,"312,437","3,807","34,790","1,525,718",2.28%,97.72%,-0.02%,975,7
21/03/2011 06:10:52,"322,896","10,459","34,038","1,529,792",2.23%,97.77%,-0.06%,994,19
30/04/2011 11:12:33,"337,848","14,952","33,219","1,543,149",2.15%,97.85%,-0.07%,"1,023",29
01/05/2011 21:12:53,"343,737","5,889","32,733","1,543,486",2.12%,97.88%,-0.03%,"1,027",4
02/05/2011 13:09:38,"348,338","4,601","32,361","1,543,696",2.10%,97.90%,-0.02%,"1,029",2
03/05/2011 02:09:37,"350,500","2,162","32,202","1,543,796",2.09%,97.91%,-0.01%,"1,030",1
03/05/2011 06:08:54,"353,404","2,904","31,975","1,543,851",2.07%,97.93%,-0.01%,"1,032",2
03/05/2011 16:09:23,"355,605","2,201","31,813","1,544,015",2.06%,97.94%,-0.01%,"1,033",1
03/05/2011 22:09:01,"358,024","2,419","31,614","1,544,137",2.05%,97.95%,-0.01%,"1,034",1
04/05/2011 06:09:35,"360,287","2,263","31,460","1,544,213",2.04%,97.96%,-0.01%,"1,035",1
04/05/2011 15:07:50,"362,700","2,413","31,271","1,544,391",2.02%,97.98%,-0.01%,"1,036",1
06/05/2011 12:08:16,"374,941","12,241","30,405","1,545,107",1.97%,98.03%,-0.06%,"1,043",7
07/05/2011 02:08:10,"379,696","4,755","30,071","1,545,315",1.95%,98.05%,-0.02%,"1,045",2
08/05/2011 01:08:08,"386,397","6,701","29,648","1,545,604",1.92%,98.08%,-0.03%,"1,048",3
11/05/2011 22:07:03,"401,423","15,026","28,762","1,546,791",1.86%,98.14%,-0.06%,"1,055",7
12/05/2011 12:34:56,"403,855","2,432","28,613","1,546,830",1.85%,98.15%,-0.01%,"1,056",1
14/05/2011 21:06:59,"424,669","20,814","27,443","1,547,671",1.77%,98.23%,-0.08%,"1,065",9
15/05/2011 07:07:04,"426,918","2,249","27,317","1,547,749",1.76%,98.24%,-0.01%,"1,066",1
30/05/2011 11:07:02,"497,887","70,969","24,102","1,552,857",1.55%,98.45%,-0.21%,"1,102",36
